"Vertices","Dijkstra","Bellman-Ford","Johnson"
"20","2995700","4997600","3997600"
"20","3994800","7998100","3997500"
"20","1002300","3995000","2998200"
"20","4993800","13994900","20986000"
"20","3997600","7998100","3994800"
"20","999400","2998200","999400"
"20","1000500","3997100","1998900"
"20","2002200","3994200","2001600"
"20","3015900","5976100","3997600"
"20","998800","1999200","998700"
"50","18990700","39975600","24985100"
"50","87949600","227866400","126927600"
"50","49972000","122929400","68961700"
"50","48971900","144918900","115934700"
"50","144918100","254853200","141921100"
"50","87948500","213876500","162907300"
"50","158907800","362797600","226865800"
"50","94947700","170900300","84952700"
"50","11994300","27984300","14991800"
"50","60965000","151911100","106938100"
"70","138921000","184897000","104938800"
"70","306825300","809535100","405768100"
"70","14990900","35981400","17988100"
"70","249855500","866503600","348802000"
"70","239864800","742571000","305823800"
"70","184895700","439745600","320815800"
"70","267847500","650626300","402768500"
"70","296830800","775554400","429753000"
"70","173900900","448740800","248857700"
"70","172899600","408766100","255873400"
"100","667614900","1677041900","871497100"
"100","659622700","2182758900","930456000"
"100","460735200","1134350800","394773800"
"100","58965300","194888000","79957400"
"100","680609600","1825971000","959430000"
"100","33980800","76958400","37978700"
"100","878496700","2422611500","1132350900"
"100","634636600","1922896900","1093373700"
"100","422758200","1031408600","528696800"
"100","219874800","746570500","398770300"
"120","298827100","709593700","405766700"
"120","1527124600","3475012700","1930890500"
"120","1385208400","3616926700","2262701900"
"120","1154336900","2879350800","1563103700"
"120","565676200","1361217300","816532600"
"120","688607900","1769982900","936464500"
"120","1491143200","4465440100","2244713700"
"120","329812800","751587600","396754700"
"120","321813300","768560200","637654800"
"120","1218300100","2834374600","1326239800"
"150","623643500","2005850400","1157335700"
"150","2391627200","5488858600","3059244200"
"150","3778835200","7857493800","3994712600"
"150","3127207900","11679835700","5003131600"
"150","1248285400","2410619400","1224299900"
"150","1570098100","4267553700","3568954300"
"150","3996100","4000300","3997100"
"150","2942311200","7383769900","4182600400"
"150","3669900800","8613060000","3955733000"
"150","3386558000","8884906500","5615089300"
"170","2395805500","8964861500","3327092500"
"170","3504991700","8534109100","3247137200"
"170","4029691100","10752837800","5477856700"
"170","4009701800","18730265400","20367324100"
"170","11032677000","16918305100","6985057200"
"170","5063139800","11818847100","5449873800"
"170","1987859500","4777265100","3037258900"
"170","4112644600","10074224400","4896194500"
"170","3111219000","8969859500","4430458400"
"170","1243287800","3109221200","1514130200"
"200","6279400200","16934292400","8136336400"
"200","5673751100","15629041000","7779538500"
"200","1562106100","4182602000","2965297700"
"200","2238717800","6384341500","3938739600"
"200","4721291100","12713712500","5488858100"
"200","2497572600","6586242500","3954714400"
"200","1635061200","4946165800","2629494600"
"200","732581100","2469585100","1159333700"
"200","3044255700","9207722000","4222579300"
"200","1168331500","3029262800","1523127300"
